Institute Id,Institute Name,TLR,RPC,GO,OI,Perception,City,State,Score,Rank,Year
IR-E-U-0507,Dayalbagh Educational Institute,61.61,7.63,49.47,53.44,6.19,Agra,Uttar Pradesh,36.62,126,2021
IR-E-U-0175,YMCA University of Science & Tech (Formerely YMCA Institute of Engineering),59.79,6.05,55.73,50.04,6.83,Faridabad,Haryana,36.59,127,2021
IR-E-C-36975,Government College of Technology,51.56,9.16,55.01,49.5,23.7,Coimbatore,Tamil Nadu,36.54,128,2021
IR-E-U-0186,Jaypee University of Information Technology,47.14,21.27,55.23,46.01,3.56,Solan,Himachal Pradesh,36.53,129,2021
IR-E-C-18817,G. H. Raisoni College of Engineering,52.49,8.85,60.93,48.69,9.87,Nagpur,Maharashtra,36.46,130,2021
IR-E-C-50605,PSG Institute of Technology and Applied Research,60.8,2.1,55.86,49.86,13.78,Coimbatore,Tamil Nadu,36.41,131,2021
IR-E-C-27616,University College of Engineering,59.95,6.78,52.91,50.28,7.45,Hyderabad,Telangana,36.37,132,2021
IR-E-C-25622,Chaitanya Bharathi Institute of Technology,60.36,2.21,56.74,51.57,10.45,Hyderabad,Telangana,36.32,133,2021
IR-E-C-19754,SR University,62.51,6.49,41.74,62.54,8.07,Warangal,Telangana,36.11,134,2021
IR-E-C-19667,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,61.89,6.83,50.96,47.63,4.9,Hyderabad,Telangana,36.06,135,2021
IR-E-U-0332,The Rashtrasant Tukadoji Maharaj Nagpur University,49.65,23.08,48.98,42.64,0.74,Nagpur,Maharashtra,35.95,136,2021
IR-E-C-37064,Sri Krishna College of Technology,54.45,8.12,60.34,47.44,3.56,Coimbatore,Tamil Nadu,35.94,137,2021
IR-E-C-1400,NMAM Institute of Technology,59.12,9.14,50.79,48.71,4.23,"Nitte, Udupi",Karnataka,35.93,138,2021
IR-E-C-1345,P E S College of Engineering,60.69,1.04,56.57,60.6,0,Mandya,Karnataka,35.89,139,2021
IR-E-C-42054,Army Institute of Technology,53.37,1.08,64.93,58.2,7.45,Pune,Maharashtra,35.89,139,2021
IR-E-C-1371,New Horizon College of Engineering,51.75,5.91,64.47,53.23,3.56,Bengaluru,Karnataka,35.87,141,2021
IR-E-C-19650,Vardhaman College of Engineering,53.07,8,55.81,48.64,15.35,Rangareddy,Telangana,35.87,141,2021
IR-E-C-33773,Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,48.87,11.24,63.74,46.71,2.17,Mumbai,Maharashtra,35.67,143,2021
IR-E-C-6581,Pondicherry Engineering College,50.19,14.63,56.41,34.53,14.83,Puducherry,Pondicherry,35.66,144,2021
IR-E-U-0621,National Institute of Technology Puducherry,52.36,5.42,53.92,68.57,6.83,Karaikal,Pondicherry,35.66,144,2021
IR-E-C-19747,Anurag University,55.78,2.62,52.86,60.28,14.31,Hyderabad,Telangana,35.55,146,2021
IR-E-C-10342,Chandigarh Engineering College,60.56,4.7,46.08,66.18,0,Sahibzada Ajit Singh Nagar,Punjab,35.42,147,2021
IR-E-S-8898,"National Institute of Food Technology, Entrepreneurship & Management",52.72,5.62,57.16,63.41,0.74,Sonipat,Haryana,35.35,148,2021
IR-E-C-18254,Yeshwantrao Chavan College of Engineering,56.1,7.1,55.05,52.36,0.74,Nagpur,Maharashtra,35.28,149,2021
IR-E-U-0938,Dr. Vishwanath Karad MIT World Peace University,61.8,6.18,50.16,48.25,0,Pune,Maharashtra,35.24,150,2021
IR-E-N-10,SVKM`s Narsee Monjee Institute of Management Studies,56.25,7.13,52.07,55.33,2.17,Mumbai,Maharashtra,35.18,151,2021
IR-E-C-1336,BMS Institute of Technology & Management,49.99,4.88,59.32,54.59,13.24,Bengaluru,Karnataka,35.1,152,2021
IR-E-U-0146,Nirma University,52.02,13.43,51.68,45.95,4.9,Ahmedabad,Gujarat,35.07,153,2021
IR-E-U-0604,"Amity University, Gwalior",57.48,3.71,58.75,46.18,2.87,Gwalior,Madhya Pradesh,35.02,154,2021
IR-E-C-19607,CVR College Of Engineering,58.79,3.48,54.75,52.16,1.46,Ibrahimpatan,Telangana,35,155,2021
IR-E-C-8277,"Government Engineering College, Thrissur",60.69,3.88,50.29,51.95,2.87,Thrissur,Kerala,34.91,156,2021
IR-E-U-0223,"Jain University, Bangalore",48.96,18.52,44.87,54.32,0.74,Bengluru,Karnataka,34.72,157,2021
IR-E-U-0592,Maulana Abul Kalam Azad University of Technology,46.79,18.71,52.47,42.66,2.87,Nadia,West Bengal,34.7,158,2021
IR-E-C-19706,Institute of Aeronautical Engineering,50.17,14.51,49.88,49.39,2.87,Hyderabad,Telangana,34.61,159,2021
IR-E-U-0615,National Institute of Technology Arunachal Pradesh,59.59,9.94,41.8,51.5,2.17,Itanagar,Arunachal Pradesh,34.59,160,2021
IR-E-U-0685,Indira Gandhi Delhi Technical University for Women,43.09,8.82,65.36,54.48,4.23,Delhi,Delhi,34.52,161,2021
IR-E-U-0384,Sant Longowal Institute of Engineering & Technology,58.4,16.31,29.59,57.04,4.9,Longowal,Punjab,34.52,161,2021
IR-E-C-30153,"Silicon Institute of Technology (SIT), Bhubaneswar",55.5,3.07,54.5,59.17,0.74,Bhubaneswar,Odisha,34.46,163,2021
IR-E-C-37065,Kongu Engineering College,57.61,8,46.3,43.96,10.45,Perundurai,Tamil Nadu,34.38,164,2021
IR-E-C-19534,Goka Raju Ranga Raju Institute of Engineering & Technology,55.87,5.71,52.63,49.43,4.23,Hyderabad,Telangana,34.36,165,2021
IR-E-U-0443,Annamalai University,59.64,25.05,21.64,30.19,14.83,Annamalainagar,Tamil Nadu,34.23,166,2021
IR-E-U-0535,Rajiv Gandhi Institute of Petroleum Technology,58.91,7.14,49.49,42.47,2.17,Amethi,Uttar Pradesh,34.18,167,2021
IR-E-C-1352,Nitte Meenakshi Institute of Technology,57.43,4.88,50.31,51.73,2.17,Bengaluru,Karnataka,34.14,168,2021
IR-E-C-6192,Institute of Engineering & Management,50.66,9.34,44.8,67.09,4.23,Kolkata,West Bengal,34.09,169,2021
IR-E-C-16614,R.M.K. Engineering College,54.45,3.25,55.6,52.39,3.56,Thiruvallur,Tamil Nadu,34.04,170,2021
IR-E-I-1093,Noida Institute of Engineering & Technology,52.45,1.37,57.5,48.67,14.83,Greater Noida,Uttar Pradesh,33.99,171,2021
IR-E-U-0454,Hindustan Institute of Technology and Science (HITS),48.41,17.65,44.02,46.84,6.83,Chennai,Tamil Nadu,33.98,172,2021
IR-E-C-42227,Dr. D. Y. Patil Institute of Technology,53.67,0.46,60.1,51.72,5.55,Pune,Maharashtra,33.98,172,2021
IR-E-U-0376,Guru Nanak Dev University,24.31,32.53,56.36,46.22,10.45,Amritsar,Punjab,33.98,172,2021
IR-E-C-37089,Sri Ramakrishna Engineering College,54.46,6.83,50.09,45.1,10.45,Coimbatore,Tamil Nadu,33.96,175,2021
IR-E-C-46111,KIET Group of Institutions,57.83,4.54,53.35,44.67,0,Ghaziabad,Uttar Pradesh,33.85,176,2021
IR-E-U-0643,Galgotias University,54.08,8.46,49.47,49.18,2.17,Gautam Budh Nagar,Uttar Pradesh,33.79,177,2021
IR-E-C-18010,Velagapudi Ramakrishna Siddhartha Engineering College,54.41,8.15,46.79,52.53,3.56,Vijayawada,Andhra Pradesh,33.73,178,2021
IR-E-U-0541,Sharda University,52.08,10.44,41.15,54.55,12.15,Greater Noida,Uttar Pradesh,33.64,179,2021
IR-E-U-0854,KLE Technological University,54.63,6.75,50.42,48.01,2.87,Dharwad,Karnataka,33.58,180,2021
IR-E-C-36143,Shri G. S. Institute of Technology & Science,52.93,3.8,55.1,48.3,6.19,Indore,Madhya Pradesh,33.49,181,2021
IR-E-U-0046,North Eastern Regional Institute of Science & Technology,60.11,11.98,34.94,43.51,4.23,Itanagar,Arunachal Pradesh,33.38,182,2021
IR-E-C-16537,St. Josephs College of Engineering,51.5,10.67,50.71,45.66,0,Kancheepuram,Tamil Nadu,33.36,183,2021
IR-E-C-36022,Lakshmi Narain College of Technology,51.79,1.86,57.61,55.45,0.74,Bhopal,Madhya Pradesh,33.23,184,2021
IR-E-U-0353,Centurion  University  of Technology and Management,52.52,3.79,54.32,53.05,0.74,Paralakhemundi,Odisha,33.14,185,2021
IR-E-I-1356,Rabindranath Tagore University,56.04,1.76,47.95,61.42,0,Raisen,Madhya Pradesh,33.07,186,2021
IR-E-U-0616,National Institute of Technology Uttarakhand,57.07,12.26,42.75,35.71,1.46,Srinagar (Garhwal),Uttarakhand,33.07,186,2021
IR-E-C-1412,JSS Science and Technology University,50.71,4.3,53.39,49.93,8.68,Mysuru,Karnataka,33.04,188,2021
IR-E-C-16560,Easwari Engineering College,51.44,2.41,56.66,48.49,4.23,Chennai,Tamil Nadu,32.75,189,2021
IR-E-I-1033,International Institute of Information Technology Bhubaneswar,42.3,12.58,54.47,49.64,4.23,Bhubaneswar,Odisha,32.73,190,2021
IR-E-C-27089,National Engineering College,56.42,5.8,45.79,46.72,1.46,Kovilpatti,Tamil Nadu,32.64,191,2021
IR-E-C-37028,Sona College of Technology,53.68,4.16,49.5,48.67,4.9,Salem,Tamil Nadu,32.61,192,2021
IR-E-C-1406,C M R Institute of Technology,55.56,4.14,46.07,52.22,2.17,Bengaluru,Karnataka,32.56,193,2021
IR-E-C-46239,G.L.Bajaj Institute of Technology and Management,57.13,3.72,47.78,47.32,0,Greater Noida,Uttar Pradesh,32.55,194,2021
IR-E-U-0774,DIT University,50.14,7.09,48.53,55.03,1.46,Dehradun,Uttarakhand,32.53,195,2021
IR-E-C-1438,The National Institute of Engineering,53.79,2.33,51.03,50.48,4.23,Mysore,Karnataka,32.52,196,2021
IR-E-C-33584,K. J. Somaiya College of Engineering,52.22,3.33,58.94,38.08,2.17,Mumbai,Maharashtra,32.48,197,2021
IR-E-C-27400,Kakatiya Institute of Technology & Science,55.8,1.64,49.13,49.25,4.9,Warangal,Telangana,32.48,197,2021
IR-E-C-11015,Walchand College of Engineering,48.25,4.54,56.11,47.93,6.19,Sangli,Maharashtra,32.46,199,2021
IR-E-U-0037,Sri Venkateswara University,41.76,25.59,37.58,43.31,3.56,Tirupati,Andhra Pradesh,32.42,200,2021
