Institue Id,NAME OF THE INSTITUTE,TLR,RPC,GO,OI,Perception,CITY,State,SCORE,RANK,Year
IR-E-U-0139,"Indian Institute of Technology, Gandhinagar",80.19,39.08,64.63,60.47,35.07,Gandhinagar,,58.27,23,2022
IR-E-U-0473,S.R.M. Institute of Science and Technology,61.2,59.21,67.17,61.76,22.89,Chennai,Tamil Nadu,58.02,24,2022
IR-E-U-0497,Amity University,69.95,62.19,55.67,57.33,12.19,Gautam Budh Nagar,,57.73,25,2022
IR-E-U-0108,"Jamia Millia Islamia, New Delhi",59.54,57.45,73.54,60.94,16.07,New Delhi,,57.51,26,2022
IR-E-U-0363,Siksha `O` Anusandhan,75.94,40.02,68.72,69.54,19.95,Bhubaneswar,,57.48,27,2022
IR-E-I-1480,Thapar Institute of Engineering and Technology,59.52,56.97,71.19,54.55,25.33,Patiala,,57.18,28,2022
IR-E-U-0391,Birla Institute of Technology & Science - Pilani,60.85,46.28,78.27,54.19,36.91,Pilani,,56.9,29,2022
IR-E-U-0395,Indian Institute of Technology Jodhpur,78.42,34.93,74.41,66.44,11.78,Jodhpur,,56.7,30,2022
IR-E-U-0263,"National Institute of Technology, Calicut",67.13,36.31,76.86,63.72,38.88,Kozhikode,,56.66,31,2022
IR-E-U-0334,"Visvesvaraya National Institute of Technology, Nagpur",66.39,48.86,75.65,53.15,16.07,Nagpur,,56.62,32,2022
IR-E-U-0064,"Indian Institute of Technology, Patna",71.45,47.78,62.39,51.47,27.92,Patna,,56.19,33,2022
IR-E-U-0577,National Institute of Technology Durgapur,67.61,43.31,72.76,57.76,21.61,Durgapur,,55.76,34,2022
IR-E-U-0098,Delhi Technological University,68.97,34.77,73.66,56.16,42.38,New Delhi,,55.65,35,2022
IR-E-U-0355,Indian Institute of Technology Bhubaneswar,70.09,36.9,70,60.78,29.29,Bhubaneswar,,55.11,36,2022
IR-E-U-0496,Aligarh Muslim University,70.9,53.82,57,42.37,16.43,Aligarh,,54.7,37,2022
IR-E-U-0055,"National Institute of Technology, Silchar",65.48,48,66.8,57.58,14.56,Silchar,,54.63,38,2022
IR-E-U-0458,Kalasalingam Academy of Research and Education,73.6,32.26,64.82,74.34,24.73,Srivilliputtur,Tamil Nadu,54.62,39,2022
IR-E-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",60.11,48.02,67.41,48.26,38.23,HOWRAH,,54.57,40,2022
IR-E-U-0476,Shanmugha Arts Science Technology & Research Academy,70.02,40.16,67.29,55.94,12.59,Thanjavur,Tamil Nadu,53.36,41,2022
IR-E-U-0356,Kalinga Institute of Industrial Technology,70.26,35.75,58.51,76.96,18.58,BHUBANESWAR,,53.06,42,2022
IR-E-U-0255,Indian Institute of Space Science and Technology,75.78,25.34,62.6,61.97,33.15,Thiruvananthapuram,,52.37,43,2022
IR-E-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),70.08,44.81,52.73,56.17,12.99,Vaddeswaram,,51.93,44,2022
IR-E-U-0747,Chandigarh University,75.92,24.84,52.44,79.48,30.61,Mohali,,51.73,45,2022
IR-E-U-0410,Malaviya National Institute of Technology,62.58,46.35,62.2,55.14,10.53,Jaipur,,51.69,46,2022
IR-E-U-0530,Motilal Nehru National Institute of Technology,59.01,37.98,75.22,52.14,18.23,Prayagraj,,51.17,47,2022
IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,63.78,37.32,63.41,52.63,22.25,Kancheepuram,Tamil Nadu,50.5,48,2022
IR-E-U-0249,Visvesvaraya Technological University,72.06,40.88,52.12,52.47,6.54,Belgaum,,50.2,49,2022
IR-E-U-0172,National Institute of Technology Kurukshetra,57.73,43.66,63.35,55.33,14.94,Kurukshetra,,50.11,50,2022
IR-E-U-0379,Lovely Professional University,65.51,36.85,51.86,67.5,17.52,Phagwara,,49.58,51,2022
IR-E-U-0374,Dr. B R Ambedkar National Institute of Technology,68.15,29.01,59.18,63.99,12.59,Jalandhar,,49.45,52,2022
IR-E-U-0202,Birla Institute of Technology,66.55,34.54,56.6,50.58,26.21,Ranchi,,49.33,53,2022
IR-E-U-0474,Sathyabama Institute of Science and Technology,64.87,37.36,46.77,63.38,21.93,Chennai,Tamil Nadu,48.56,54,2022
IR-E-C-7252,Manipal Institute of Technology,67.36,33.36,49.49,62.48,19.61,Manipal,,48.33,55,2022
IR-E-U-0844,Indian Institute of Technology,77.47,14.95,60.24,56.79,27.07,Yerpedu,,48.16,56,2022
IR-E-C-37013,PSG College of Technology,66.5,24.9,50.81,48.09,52.94,Coimbatore,,47.68,57,2022
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,56.53,38.64,65.09,49.87,10.53,Surat,,47.61,58,2022
IR-E-U-0389,Banasthali Vidyapith,65.21,18.25,69.77,73.14,7,Banasthali,,47,59,2022
IR-E-U-0619,National Institute of Technology Meghalaya,66.65,27.9,57.7,62.98,4.63,Shillong,,46.67,60,2022
IR-E-U-0564,University of Petroleum and Energy Studies,65.41,27.85,48.09,62.23,26.21,Dehradun,,46.43,61,2022
IR-E-U-0014,International Institute of Information Technology Hyderabad,49.17,38.58,64,51.01,21.93,Hyderabad,Telangana,46.41,62,2022
IR-E-U-0072,National Institute of Technology,60.96,32.77,65.76,42.69,7,Patna,,46.24,63,2022
IR-E-U-0555,Graphic Era University,71.05,18.2,48.13,67.28,27.35,Dehradun,,45.87,64,2022
IR-E-U-0092,National Institute of Technology,55.61,34.77,61.22,56.62,7,Raipur,,45.71,65,2022
IR-E-U-0197,National Institute of Technology Srinagar,63.2,19.8,64.43,65.87,11.37,Srinagar,,45.52,66,2022
IR-E-C-1331,M. S. Ramaiah Institute of Technology,66.09,19.82,61.93,55.17,14.94,Bengaluru,,45.17,67,2022
IR-E-U-0878,Indian Institute of Technology Palakkad,70.69,12.11,60.25,63.89,16.43,Palakkad,,44.92,68,2022
IR-E-U-0105,Indraprastha Institute of Information Technology Delhi,50.13,34.83,69.3,42.56,11.78,New Delhi,,44.79,69,2022
IR-E-U-0284,Maulana Azad National Institute of Technology,54.9,29.822,62.3,59.06,6.54,Bhopal,,44.63,70,2022
IR-E-U-0297,Defence Institute of Advanced Technology,62.13,36.01,53.95,41.34,2.64,Pune,,44.62,71,2022
IR-E-C-41593,College of Engineering,62.33,17.11,65.13,51.65,23.51,Pune,,44.38,72,2022
IR-E-C-36995,Sri Krishna College of Engineering and Technology,62.39,17.13,64.52,50.18,23.82,Coimbatore,Tamil Nadu,44.16,73,2022
IR-E-U-0099,Guru Gobind Singh Indraprastha University,55.21,33.01,52.63,47.6,22.57,New Delhi,,44.02,74,2022
IR-E-U-0749,Manipal University,63.54,24.44,56.68,59.53,1.6,Jaipur,,43.83,75,2022
IR-E-U-0017,Jawaharlal Nehru Technological University,65.66,27.4,44.02,53.95,6.54,Hyderabad,Telangana,42.77,76,2022
IR-E-C-24004,AU College of Engineering (A),61.41,11.74,72.13,56.02,7.91,Visakhapatnam,,42.76,77,2022
IR-E-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,52.58,20.54,71.53,56.11,7,Gwalior,,42.56,78,2022
IR-E-C-6379,Netaji Subhas University of Technology (NSUT),52.77,19.49,68.21,44.44,23.2,South West,,42.14,79,2022
IR-E-U-0493,National Institute of Technology Agartala,56.59,25.44,54.19,59.64,5.12,Agratala,,41.92,80,2022
IR-E-U-0221,International Institute of Information Technology Bangalore,55.21,16.15,63.61,59.96,17.88,Bengaluru,,41.91,81,2022
IR-E-U-0286,"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",45.78,28.74,66.45,59.38,2.12,Jabalpur,,41.79,82,2022
IR-E-C-1262,B.M.S. College of Engineering,59.48,15.52,60.73,52.29,18.23,Bengaluru,,41.71,83,2022
IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,54.81,31.13,44.91,63.79,2.12,Chennai,Tamil Nadu,41.35,84,2022
IR-E-C-26794,Thiagarajar College of Engineering,51.94,19.32,59.66,48.59,29.29,Madurai,Tamil Nadu,41.1,85,2022
IR-E-C-45375,"National Institute of Food Technology, Entrepreneurship and Management - Thanjavur (NIFTEM - Thanjavur)",71.85,14.18,46.47,56.98,2.64,Thanjavur,Tamil Nadu,41.06,86,2022
IR-E-U-0080,Punjab Engineering College (Deemed to be University),50.67,17.94,65.84,53.66,19.27,Chandigarh,,41.05,87,2022
IR-E-U-0620,National Institute of Technology Goa,54.95,22.51,54.51,58.11,8.36,Ponda,,40.78,88,2022
IR-E-C-1269,R.V. College of Engineering,61.27,16.36,55.29,50.75,12.99,Bengaluru,,40.73,89,2022
IR-E-U-0207,"National Institute of Technology, Jamshedpur",53.43,19.09,67.16,46.77,8.36,Jamshedpur,,40.71,90,2022
IR-E-C-19754,SR University,65.52,13.28,47.9,62.23,12.59,Warangal,,40.69,91,2022
IR-E-U-0078,Panjab University,40.83,45.39,44.4,46.52,11.78,Chandigarh,,40.58,92,2022
IR-E-U-0516,Indian Institute of Information Technology Allahabad,42.53,18.48,73.98,51.68,22.57,Prayagraj (Allahabad),,40.53,93,2022
IR-E-U-0522,Jaypee Institute of Information Technology,51.63,25.12,59.97,48.68,6.07,Noida,,40.5,94,2022
IR-E-C-16626,Rajalakshmi Engineering College,65.04,9.2,59.85,59.19,3.14,Chennai,Tamil Nadu,40.47,95,2022
IR-E-U-0163,The Northcap University,64.69,14.58,54.88,51.64,4.14,Gurugram,,40.33,96,2022
IR-E-C-1297,Siddaganga Institute of Technology,61.64,14.03,55.39,51.19,13.39,Tumkur,,40.24,97,2022
R-E-C-30045,"C.V. Raman Global University, Odisha",63.66,5.32,59.35,63.98,12.19,Bhubaneswar,,40.19,98,2022
IR-E-U-0043,"Vignan's Foundation for Science, Technology and Research",61.64,21.12,46.96,56.3,3.14,Guntur,,40.16,99,2022
IR-E-U-0733,PES University,56.27,14.93,63.78,51.02,9.24,Bengaluru,,40.14,100,2022
IR-E-U-0201,Shri Mata Vaishno Devi University,61.82,24.29,48.15,44.01,2.12,Katra,,40.08,101,2022
IR-E-U-0011,Gandhi Institute of Technology and Managemen,51.11,21.08,63.87,49.8,5.12,Visakhapatnam,,39.92,102,2022
IR-E-U-0445,B. S. Abdur Rahman Crescent Institute of Science and Technology,62.27,21.2,49,46.66,4.14,Chennai,Tamil Nadu,39.92,103,2022
IR-E-C-36969,Coimbatore Institute of Technology,63.02,11.44,49.69,49.29,26.21,Coimbatore,Tamil Nadu,39.83,104,2022
IR-E-U-0169,Manav Rachna International Institute of Research & Studies,59.69,9.37,60.8,57.31,10.53,Faridabad,,39.66,105,2022
IR-E-U-0147,Pandit Deendayal Energy University,56.47,26.12,54.25,35.49,4.63,Gandhinagar,,39.64,106,2022
IR-E-U-0460,Karunya Institute of Technology and Sciences,50.77,30.69,43.86,51.16,10.95,Coimbatore,Tamil Nadu,39.43,107,2022
IR-E-U-0613,National Institute of Technology Manipur,63.58,16.86,43.79,59.74,4.63,Imphal,,39.32,108,2022
IR-E-C-36926,Kumaraguru College of Technology,59.36,15.32,54.14,45.08,15.69,Coimbatore,Tamil Nadu,39.32,108,2022
IR-E-C-43708,"College of Engineering, Trivandrum",60.64,12.79,54.11,52.55,11.37,Thiruvananthapuram,,39.24,110,2022
IR-E-U-0367,Veer Surendra Sai University of Technology,54.79,27.21,47.7,46.42,3.65,Burla,,39.14,111,2022
IR-E-U-0795,Indian Institute of Information Technology Guwahati,237.09,11.48,56.46,59,32.15,Guwahati,,39.09,112,2022
IR-E-C-19667,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,59.74,14.47,53.53,50.56,10.11,Hyderabad,Telangana,39.04,113,2022
IR-E-U-0155,"Amity University Haryana, Gurgaon",63.42,15.59,46.03,57.55,4.14,Gurugram,Haryana,38.87,114,2022
IR-E-U-0223,"Jain University, Bangalore",53.65,22.75,47.37,58.61,3.14,Bengluru,,38.55,115,2022
IR-E-U-0938,Dr. Vishwanath Karad MIT World Peace University,65.58,9.67,54.35,48.12,2.64,Pune,,38.51,116,2022
IR-E-C-27616,University College of Engineering,60.15,9.49,55.99,61.92,2.12,Hyderabad,Telangana,38.49,117,2022
IR-E-C-37065,Kongu Engineering College,58.83,14.44,51.81,43.29,16.43,Perundurai,,38.31,118,2022
IR-E-C-33641,"Veermata Jijabai Technological Institute (VJTI, Mumbai)",50.23,13.68,63.97,54.46,8.8,Mumbai,,38.29,119,2022
IR-E-U-0507,Dayalbagh Educational Institute,62.73,9.86,52.88,49.82,9.24,Agra,,38.26,120,2022
IR-E-C-1371,New Horizon College of Engineering,56.95,6.56,64.91,56.5,5.12,Bengaluru,,38.18,121,2022
IR-E-C-37064,Sri Krishna College of Technology,54.89,12.91,61.72,46.61,7.91,Coimbatore,Tamil Nadu,38.14,122,2022
IR-E-U-0056,Tezpur University,50.33,30.7,44.63,40.88,7.91,Tezpur,,38.12,123,2022
IR-E-C-50605,PSG Institute of Technology and Applied Research,61.19,6.17,54.07,49.88,20.29,Coimbatore,,38.04,124,2022
IR-E-U-0146,Nirma University,53.06,18.6,57.81,45.36,4.14,Ahmedabad,,38.01,125,2022
IR-E-U-0190,Shoolini University of Biotechnology and Management Sciences,49.11,27.77,45.78,52.78,5.12,Solan,,38.01,125,2022
IR-E-S-8898,"National Institute of Food Technology, Enterprenurship & Management",58.17,8.74,56.42,63.09,1.6,Sonipat,,37.96,127,2022
IR-E-U-0189,"National Institute of Technology, Hamirpur",47.41,23.85,57.26,45.23,5.6,Hamirpur,,37.91,128,2022
IR-E-U-0015,Jawaharlal Nehru Technological University,57.01,19.31,47.55,50.19,3.65,Kakinada,,37.79,129,2022
IR-E-C-27058,Mepco Schlenk Engineering College,51.12,24.77,51.24,50.22,15.32,Sivakasi,,37.79,129,2022
IR-E-C-35417,Bharati Vidyapeeth Deemed University College of Engineering,57.32,3.15,61.89,67.14,5.12,Pune,,37.75,131,2022
IR-E-U-0616,National Institute of Technology Uttarakhand,61.05,18.92,44.19,45.53,3.65,Srinagar (Garhwal),,37.75,131,2022
IR-E-U-0388,"Amity University, Jaipur",51.65,16.14,58.34,54.38,2.12,Jaipur,,37.65,133,2022
IR-E-U-0130,Dhirubhai Ambani Institute of Information and Communication Technology,48.59,10.64,71.82,49,6.07,Gandhinagar,,37.64,134,2022
IR-E-N-10,SVKM`s Narsee Monjee Institute of Management Studies,56.8,12.47,55.01,56.41,1.6,Mumbai,,37.58,135,2022
IR-E-U-0621,National Institute of Technology Puducherry,52.4,10.61,52.53,71.66,9.24,Karaikal,,37.49,136,2022
IR-E-C-1345,"P E S College of Engineering, Mandya",60.33,1.46,65.46,57.72,0,Mandya,,37.4,137,2022
IR-E-U-0186,Jaypee University of Information Technology,44.77,25.87,57.18,44.53,3.14,Solan,,37.39,138,2022
IR-E-C-10342,Chandigarh Engineering College,64.49,6.88,43.96,71.26,0.54,Sahibzada Ajit Singh Nagar,,37.37,139,2022
IR-E-C-19747,Anurag University,61.17,4.04,53.57,60.93,9.68,Hyderabad,Telangana,37.33,140,2022
IR-E-C-18010,Velagapudi Ramakrishna Siddhartha Engineering College,57.86,14.82,49.24,52.3,4.14,Vijayawada,,37.3,141,2022
IR-E-I-1015,Vishwakarma Institute of Technology,58.11,7.27,59.8,50.59,6.54,Pune,,37.28,142,2022
IR-E-U-0175,"J. C. Bose University of Science and Technology, YMCA",57.53,10.43,57.83,50.53,2.64,Faridabad,,37.27,143,2022
IR-E-U-0373,Chitkara University,48.75,16.2,50.82,58.13,17.88,Rajpura,,37.24,144,2022
IR-E-I-1093,Noida Institute of Engineering & Technology,56.67,3.19,58.51,52.16,23.2,Greater Noida,,37.2,145,2022
IR-E-C-18886,Shri Ramdeobaba College of Engineering and Managemen,56.99,9.31,57.6,50.89,5.12,Nagpur,,37.02,146,2022
IR-E-U-0643,Galgotias University,52.94,16.04,49.01,55.25,8.8,Gautam Budh Nagar,,36.89,147,2022
IR-E-C-19534,Goka Raju Ranga Raju Institute of Engineering & Technology,54.03,12.59,57.1,50.18,3.65,Hyderabad,Telangana,36.79,148,2022
IR-E-U-0143,Maharaja Sayajirao University of Baroda,54.72,14.21,53.7,47.61,6.07,Vadodara,,36.78,149,2022
IR-E-C-6581,Pondicherry Engineering College,46.38,15.51,59.49,54.2,8.8,Puducherry,,36.77,150,2022
IR-E-C-43264,"National Institute of Advanced Manufacturing Technology, ",67.53,4.93,49.22,49.31,2.64,Ranch,,36.77,150,2022
IR-E-U-0454,Hindustan Institute of Technology and Science (HITS),50.09,26.26,42.12,48.27,5.6,Chennai,Tamil Nadu,36.71,152,2022
IR-E-U-0604,"Amity University, Gwalior",60.12,6.79,58.15,46.78,1.08,Gwalior,,36.49,153,2022
IR-E-C-16614,R.M.K. Engineering College,57.46,8,56.48,52.18,3.14,Thiruvallur,Tamil Nadu,36.46,154,2022
IR-E-U-1119 ,Mahindra University,57.63,4.89,63.89,49.22,0,Hyderabad ,Telangana,36.46,154,2022
IR-E-I-1441 ,Saveetha Institute of Medical and Technical Sciences,45.55,30.02,35.88,64.76,1.08,Chennai ,Tamil Nadu,36.44,156,2022
IR-E-C-16547 ,Sri Sairam Engineering College,58.22,13.82,45.94,51.02,5.12,Kancheepuram ,Tamil Nadu,36.41,157,2022
IR-E-C-1412 ,JSS Science and Technology University,54.77,6.54,58.03,51.84,11.78,Mysuru ,,36.36,158,2022
IR-E-U-0491 ,Vels Institute of Science Technology & Advanced Studies (VISTAS) -Chennai,51.96,23.56,47.22,41.85,0.54,Chennai,Tamil Nadu ,36.35,159,2022
IR-E-C-36975 ,Government College of Technology,47.78,10.05,58.06,49.81,22.89,Coimbatore,Tamil Nadu,36.22,160,2022
IR-E-C-30153 ,"Silicon Institute of Technology (SIT), Bhubaneswar",58.97,3.52,55.86,62.34,0.54,Bhubaneswar,,36.19,161,2022
IR-E-C-19650 ,Vardhaman College of Engineering,51.89,9.33,54.59,47.99,20.62,Rangareddy ,Telangana,36.15,162,2022
IR-E-C-18817 ,"G. H. Raisoni College of Engineering, Nagpur",57.48,10.43,48.65,54.57,5.6,Nagpur,,36.12,163,2022
IR-E-U-0541,Sharda University,57.74,17.36,37.44,55.57,5.12,Greater Noida ,,36.1,164,2022
IR-E-C-26929 ,Sree Vidyanikethan Engineering College,53.63,9.35,50.85,50.83,19.27,Tirupati ,,36.08,165,2022
IR-E-C-25622 ,Chaitanya Bharathi Institute of Technology,57.5,3.07,56.89,51.94,10.95,Hyderabad,Telangana,35.84,166,2022
IR-E-C-33773 ,Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,46.53,13.11,63.92,46.41,3.14,Mumbai,,35.62,167,2022
IR-E-I-1356 ,Rabindranath Tagore University,61.9,2.01,51.25,61.99,0,Raisen,,35.62,167,2022
IR-E-C-27089 ,National Engineering College,55.51,12.1,51.33,47.7,2.64,Kovilpatti,,35.58,169,2022
IR-E-C-19607 ,CVR College of Engineering,61.19,4.72,50.85,53.99,1.6,Ibrahimpatan,,35.51,170,2022
IR-E-U-0615 ,National Institute of Technology Arunachal Pradesh,55.96,15.27,40.91,54.84,4.63,Itanagar,,35.49,171,2022
IR-E-C-42054 ,Army Institute of Technology,51.13,2.36,64.88,57.85,5.6,Pune ,,35.38,172,2022
IR-E-U-0614,National Institute of Technology Sikkim,64.25,10.26,40.27,47.61,1.6,South Sikkim ,,35.33,173,2022
IR-E-C-37028 ,Sona College of Technology,57,8.01,52.71,48.43,4.14,Salem,Tamil Nadu,35.29,174,2022
IR-E-C-1400 ,NMAM Institute of Technology,55.31,11.4,50.35,48.78,3.14,"Nitte, Udupi ",,35.27,175,2022
IR-E-C-16576 ,Chennai Institute of Technology,55.24,9.2,47.12,56.71,20,Chennai,Tamil Nadu,35.27,175,2022
IR-E-U-0685 ,Indira Gandhi Delhi Technical University for Women,39.39,11.03,67.25,50.12,16.43,Delhi,,35.23,177,2022
IR-E-U-0384 ,Sant Longowal Institute of Engineering & Technology,57.44,18.52,30.12,60.83,3.14,Longowal,,35.2,178,2022
IR-E-U-0774 ,DIT University,51,9.61,54.93,56.62,3.14,Dehradun ,,35.14,179,2022
IR-E-C-1406 ,C M R Institute of Technology,57.34,8.29,49.8,52,2.64,Bengaluru ,,35.11,180,2022
IR-E-C-16560 ,Easwari Engineering College,52.44,7.2,57.96,51.24,3.65,Chennai,Tamil Nadu,35.07,181,2022
IR-E-U-0535 ,Rajiv Gandhi Institute of Petroleum Technology,58.81,7.05,54.22,43.96,0,Amethi,,34.99,182,2022
IR-E-C-1352 ,Nitte Meenakshi Institute of Technology,56.55,7.71,50.82,53.81,1.6,Bengaluru,,34.97,183,2022
IR-E-U-0455 ,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",36.37,13.15,62.59,51.37,24.12,Chennai,Tamil Nadu,34.93,184,2022
IR-E-C-18254 ,Yeshwantrao Chavan College of Engineering,52.41,8.77,57.07,50.74,0.54,Nagpur,,34.88,185,2022
IR-E-U-0513 ,G. L. A. University,55.52,19.67,37.61,45.62,1.08,Mathura,,34.74,186,2022
IR-E-C-46111 ,KIET Group of Institutions,53.33,9.39,55.12,46.29,2.64,Ghaziabad,,34.73,187,2022
IR-E-C-17958 ,GMR Institute of Technology,57.16,15.28,42.92,41.85,2.12,Rajam,,34.71,188,2022
IR-E-U-0217 ,Christ University,45.9,19.22,41.37,52.22,16.07,Bengaluru,,34.64,189,2022
IR-E-U-0765 ,Institute of Infrastructure Technology Research and Management (IITRAM),54.88,20.07,40.43,37.21,1.08,Ahmedabad,,34.41,190,2022
IR-E-U-0168 ,Maharishi Markandeshwar,59.42,14.51,34.91,49.51,2.64,Ambala,,34.37,191,2022
IR-E-N-13 ,Galgotias College of Engineering & Technology,54.75,6.98,51.54,48.41,6.07,Greater Noida ,,34.29,192,2022
IR-E-C-42227 ,Dr. D. Y. Patil Institute of Technology,53.48,1.49,59.71,51.98,4.63,Pune,,34.1,193,2022
IR-E-U-0622 ,National Institute of Technology Delhi,41.6,22.59,44.71,42.73,14.94,Delhi,,33.96,194,2022
IR-E-C-46239 ,G. L. Bajaj Institute of Technology and Management,54.48,10.21,47.98,47.79,1.6,Greater Noida ,,33.95,195,2022
IR-E-U-0854 ,KLE Technological University,51.27,10.36,50.84,48.3,4.14,Dharwad,,33.9,196,2022
IR-E-C-33777,Shri Vile Parle Kelavani Mandal`s Dwarkadas J. Sanghvi College of Engineering,53.37,6.11,58.33,42.72,1.08,Mumbai Suburban,,33.88,197,2022
IR-E-C-16504 ,Sri Venkateswara College of Engineering and Technology,51.15,1.53,59.06,58.36,3.14,Chittoor,,33.77,198,2022
IR-E-C-1336 ,BMS Institute of Technology & Management,46.4,4.77,56.46,54.38,16.8,Bengaluru,,33.76,199,2022
IR-E-C-19582 ,Vidya Jyothi Institute of Technology,57.97,2.81,46.58,55.46,6.07,Hyderabad,Telangana,33.7,200,2022
